"District","Copper - Sufficient","Copper - Deficient","Boron - Sufficient","Boron - Deficient","S - Sufficient","S - Deficient","Fe - Sufficient","Fe - Deficient","Zn - Sufficient","Zn - Deficient","Mn - Sufficient","Mn - Deficient"
"MYSURU","96.86300684131487%","3.1369931586851325%","55.01418321374938%","44.98581678625062%","99.4827298514934%","0.517270148506591%","78.9587852494577%","21.0412147505423%","56.73285499749708%","43.26714500250292%","96.14550308693475%","3.8544969130652427%"
"BAGALKOTE","96.78381064233444%","3.2161893576655523%","64.63679074810264%","35.36320925189736%","83.69319721745416%","16.306802782545848%","0.2619929532929804%","99.73800704670703%","5.962598247357485%","94.03740175264251%","76.41159996386304%","23.58840003613696%"
"VIJAYANAGAR","99.34383202099738%","0.6561679790026247%","18.923884514435695%","81.0761154855643%","41.012857517711886%","58.987142482288114%","64.86486486486487%","35.13513513513514%","52.53214379427972%","47.46785620572028%","95.35554972448176%","4.644450275518237%"
"HAVERI","99.42507645259938%","0.5749235474006116%","15.20303326810176%","84.79696673189824%","98.11643835616438%","1.8835616438356164%","0.4280821917808219%","99.57191780821918%","7.937866927592955%","92.06213307240705%","42.257827788649706%","57.742172211350294%"
"MANDYA","96.80115273775216%","3.1988472622478388%","26.123919308357348%","73.87608069164266%","90.835734870317%","9.164265129682997%","77.1757925072046%","22.824207492795388%","58.731988472622476%","41.268011527377524%","98.18443804034582%","1.8155619596541788%"
"KOPPAL","98.70444667335339%","1.2955533266466064%","43.91507856904045%","56.08492143095955%","30.05683717820127%","69.94316282179872%","80.57505850885991%","19.424941491140086%","22.73487128050819%","77.26512871949181%","99.14744232698094%","0.8525576730190572%"
"BENGALURU RURAL","77.9491833030853%","22.0508166969147%","1.4298683613254652%","98.57013163867454%","34.686932849364794%","65.3130671506352%","35.93466424682396%","64.06533575317604%","30.263157894736842%","69.73684210526316%","80.8529945553539%","19.147005444646098%"
"RAICHUR","99.67538855006886%","0.32461144993114305%","0.8226324237560193%","99.17736757624398%","96.7741935483871%","3.225806451612903%","3.235641227380016%","96.76435877261999%","0.8566364710515951%","99.1433635289484%","99.46892210857592%","0.5310778914240756%"
"DAKSHINA KANNADA","95.21259842519684%","4.78740157480315%","10.081915563957152%","89.91808443604285%","78.23622047244095%","21.763779527559056%","76.06299212598425%","23.937007874015748%","62.14173228346457%","37.85826771653543%","63.496062992125985%","36.503937007874015%"
"VIJAYAPURA","93.55579978019782%","6.444200219802178%","63.37296433210111%","36.62703566789889%","0.4595863722649615%","99.54041362773503%","7.593166150464582%","92.40683384953542%","34.27600679524333%","65.72399320475667%","77.74557809533327%","22.25442190466673%"
"KALABURAGI","100%","0%","90.17341040462428%","9.826589595375722%","99.8478856099787%","0.152114390021296%","0.16225534935604907%","99.83774465064396%","10.059831660075043%","89.94016833992495%","99.75661697596593%","0.24338302403407364%"
"KOLAR","96.7798202066282%","3.2201797933717966%","84.12719710183819%","15.872802898161813%","76.90862739836308%","23.091372601636923%","98.2154836978398%","1.784516302160204%","80.37032067623775%","19.629679323762243%","99.59747752582852%","0.4025224741714746%"
"BELAGAVI","96.73505404809177%","3.2649459519082287%","1.1912640635340834%","98.80873593646592%","44.79373483344364%","55.20626516655636%","19.214648135892347%","80.78535186410765%","35.19744098830797%","64.80255901169204%","62.73990734612839%","37.26009265387161%"
"HASSAN","67.8825488118662%","32.1174511881338%","91.08521265324656%","8.914787346753444%","90.07113667322537%","9.928863326774634%","5.130921749659452%","94.86907825034055%","16.225215680339033%","83.77478431966097%","28.288179203874677%","71.71182079612532%"
"BALLARI","99.01536037810162%","0.9846396218983852%","13.647105159511618%","86.35289484048837%","48.503347774714456%","51.496652225285544%","55.65183142969673%","44.34816857030327%","55.564309631672245%","44.435690368327755%","97.18393068137061%","2.8160693186293817%"
"YADGIR","99.77314910290782%","0.22685089709218395%","36.718911115693956%","63.281088884306044%","96.06104351412662%","3.938956485873376%","74.20086615797072%","25.799133842029285%","90.67849041039389%","9.321509589606105%","98.30875528513974%","1.691244714860266%"
"KODAGU","99.9083129584352%","0.09168704156479218%","99.81662591687042%","0.18337408312958436%","91.0757946210269%","8.924205378973106%","97.89119804400978%","2.10880195599022%","87.28606356968216%","12.71393643031785%","77.68948655256723%","22.31051344743276%"
"RAMANAGARA","95.83838383838383%","4.161616161616162%","14.865683700262574%","85.13431629973742%","89.21430014138558%","10.785699858614421%","81.88244799030498%","18.11755200969501%","25.651383558876994%","74.348616441123%","92.18339729347606%","7.816602706523935%"
"CHIKKAMAGALURU","96.36283961437336%","3.6371603856266432%","9.991235758106924%","90.00876424189308%","32.28162430616418%","67.71837569383581%","84.70639789658195%","15.293602103418054%","61.30587204206836%","38.69412795793164%","98.71457785568215%","1.2854221443178497%"
"DHARWAD","99.84286612193588%","0.1571338780641106%","68.21181646763043%","31.78818353236958%","80.70395977372722%","19.296040226272783%","31.316781898177247%","68.68321810182275%","21.88874921433061%","78.11125078566938%","99.04148334380892%","0.9585166561910748%"
"UTTARA KANNADA","75.51867219917013%","24.481327800829874%","12.487650661924521%","87.51234933807548%","81.72297964829085%","18.277020351709147%","96.66073898439043%","3.3392610156095635%","89.70559178028057%","10.294408219719424%","91.52341434499111%","8.476585655008892%"
